"label","file_name"
"F0112","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0113","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0115","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0204","/202_s2.png"
"F0205","/202_s2.png"
"F0216","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0218","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0219","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0222","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0223","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0320","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0321","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0401","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0402","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0426","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0427","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0504","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0505","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0604","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0606","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0701","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0703","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0803","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0805","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0806","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0901","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0902","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0903","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F0904","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F1001","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F1002","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F1004","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
"F1005","https://loc.bus-vision.jp/ryobi/view/images/common/busicon/10000/3/202_s.png"
